,labels,text,prediction
15,2,"Antiproton-nucleus quasi-bound states within the 2009 version of the Paris $\bar{N}N$ potential We studied the ${\bar p}$ interactions with the nuclear medium within the 2009 version of the Paris ${\bar N}N$ potential model. We constructed the $\bar{p}$--nucleus optical potential using the Paris $S$- and $P$-wave ${\bar p}N$ scattering amplitudes and treated their strong energy and density dependence self-consistently. We considered a phenomenological $P$-wave term as well. We calculated $\bar{p}$ binding energies and widths of the $\bar{p}$ bound in various nuclei. The $P$-wave potential has very small effect on the calculated ${\bar p}$ binding energies, however, it reduces the corresponding widths noticeably. Moreover, the $S$-wave potential based on the Paris amplitudes supplemented by a phenomenological $P$-wave term yields the ${\bar p}$ binding energies and widths in very good agreement with those obtained within the RMF model consistent with ${\bar p}$-atom data.",1
20,2,"Integrability and duality in spin chains We construct a new, two-parametric family of integrable models and reveal their underlying duality symmetry. A modular subgroup of this duality is shown to connect non-interacting modes of different systems. We apply the new solution and duality to a Richardson-Gaudin model and generate a novel integrable system termed the $s$-$d$ wave Richardson-Gaudin-Kitaev interacting chain, interpolating $s$- and $d$- wave superconductivity. The phase diagram of this model has a topological phase transition that can be connected to the duality, where the occupancy of the non-interacting mode serves as a topological order parameter.",1
66,2,"Fast and accurate inference on gravitational waves from precessing compact binaries Inferring astrophysical information from gravitational waves emitted by compact binaries is one of the key science goals of gravitational-wave astronomy. In order to reach the full scientific potential of gravitational-wave experiments, we require techniques to mitigate the cost of Bayesian inference, especially as gravitational-wave signal models and analyses become increasingly sophisticated and detailed. Reduced-order models (ROMs) of gravitational waveforms can significantly reduce the computational cost of inference by removing redundant computations. In this paper, we construct the first reduced-order models of gravitational-wave signals that include the effects of spin precession, inspiral, merger, and ringdown in compact object binaries and that are valid for component masses describing binary neutron star, binary black hole, and mixed binary systems. This work utilizes the waveform model known as “IMRPhenomPv2.” Our ROM enables the use of a fast reduced-order quadrature (ROQ) integration rule which allows us to approximate Bayesian probability density functions at a greatly reduced computational cost. We find that the ROQ rule can be used to speed-up inference by factors as high as 300 without introducing systematic bias. This corresponds to a reduction in computational time from around half a year to half a day for the longest duration and lowest mass signals. The ROM and ROQ rules are available with the main inference library of the LIGO Scientific Collaboration, LALInference.",1
81,2,"Uncertainty principle on 3-dimensional manifolds of constant curvature We consider the Heisenberg uncertainty principle of position and momentum in 3-dimensional spaces of constant curvature $K$. The uncertainty of position is defined coordinate independent by the geodesic radius of spherical domains in which the particle is localized after a von Neumann-L\""uders projection. By applying mathematical standard results from spectral analysis on manifolds, we obtain the largest lower bound of the momentum deviation in terms of the geodesic radius and $K$. For hyperbolic spaces, we also obtain a global lower bound $\sigma_p\geq |K|^\frac{1}{2}\hbar$, which is non-zero and independent of the uncertainty in position. Finally, the lower bound for the Schwarzschild radius of a static black hole is derived and given by $r_s\geq 2\,l_P$, where $l_P$ is the Planck length.",1
109,2,"Dynamical screening of α-α resonant scattering and thermal nuclear scattering rate in a plasma We use effective field theory and thermal field theory to study the dynamical screening effect in the QED plasma on the α-α scattering at the Be8 resonance. Dynamical screening leads to an imaginary part of the potential which results in a thermal width for the resonance and dominates over the previously considered static screening effect. As a result, both the resonance energy and width increase with the plasma temperature. Furthermore, dynamical screening can have a huge impact on the α-α thermal nuclear scattering rate. For example, when the temperature is around 10 keV, the rate is suppressed by a factor of about 900. We expect similar thermal suppressions of nuclear reaction rates to occur in those reactions dominated by an above threshold resonance with a thermal energy. Dynamical screening effects on nuclear reactions can be relevant to cosmology and astrophysics.",1
268,2,"$\mathcal{PT}$ -symmetric rational Calogero model with balanced loss and gain A two-body rational Calogero model with balanced loss and gain is investigated. The system yields a Hamiltonian which is symmetric under the combined operation of parity ( $\mathcal{P}$ ) and time reversal ( $\mathcal{T}$ ) symmetry. It is shown that the system is integrable and exact, stable classical solutions are obtained for particular ranges of the parameters. The corresponding quantum system admits bound state solutions for the exactly same ranges of the parameters for which the classical solutions are stable. The eigenspectrum of the system is presented with a discussion on the normalization of the wave functions in proper Stokes wedges. Finally, the Calogero model with balanced loss and gain is studied classically, when the pair-wise harmonic interaction term is replaced by a common confining harmonic potential. The system admits stable solutions for particular ranges of the parameters. However, the integrability and/or exact solvability of the system is obscure due to the presence of the loss and gain terms. The perturbative solutions are obtained and are compared with the numerical results.",1
319,2,"Action-angle variables for geodesic motions in Sasaki-Einstein spaces $Y^{p,q}$ We use action-angle variables to describe the geodesic motions in the 5-dimensional Sasaki–Einstein spaces Yp,q. This formulation allows us to study thoroughly the complete integrability of the system. We find that the Hamiltonian involves a reduced number of action variables. Therefore one of the fundamental frequencies is zero, indicating chaotic behavior when the system is perturbed.",1
352,2,"Momentum space treatment of inclusive neutrino scattering off the deuteron and trinucleons The $\bar{\nu}_e + {^2{\rm H}} \rightarrow e^+ + n + n$, $\nu_e + {^2{\rm H}} \rightarrow e^- + p + p$, $\bar{\nu}_l + {^2{\rm H}} \rightarrow \bar{\nu}_l + {^2{\rm H}}$, $\nu_l + {^2{\rm H}} \rightarrow \nu_l + {^2{\rm H}}$, $\bar{\nu}_l + {^2{\rm H}} \rightarrow \bar{\nu}_l + p + n$, $\nu_l + {^2{\rm H}} \rightarrow \nu_l + p + n$, $\bar{\nu}_e + {^3{\rm He}} \rightarrow e^+ + {^3{\rm H}}$, $\bar{\nu}_l + {^3{\rm He}} \rightarrow \bar{\nu}_l + {^3{\rm He}}$, $\nu_l + {^3{\rm He}} \rightarrow \nu_l + {^3{\rm He}}$, $\bar{\nu}_l + {^3{\rm H}} \rightarrow \bar{\nu}_l + {^3{\rm H}}$, $\nu_l + {^3{\rm H}} \rightarrow \nu_l + {^3{\rm H}}$, $\bar{\nu}_e + {^3{\rm He}} \rightarrow e^+ + n + d$, $\bar{\nu}_e + {^3{\rm He}} \rightarrow e^+ + n + n + p$, $\bar{\nu}_l + {^3{\rm He}} \rightarrow \bar{\nu}_l + p + d$, $\bar{\nu}_l + {^3{\rm He}} \rightarrow \bar{\nu}_l + p + p +n$, $\nu_l + {^3{\rm H}} \rightarrow \nu_l + n + d$ and $\nu_l + {^3{\rm H}} \rightarrow \nu_l + n + n + p$ reactions ($l= e, \mu, \tau$) are studied consistently in momentum space for (anti)neutrino energies up to 300 MeV. For most of these processes we provide predictions for the total cross sections and in the case of the (anti)neutrino-$^3$He and (anti)neutrino-$^3$H inelastic scattering we compute examples of essential response functions, using the AV18 nucleon-nucleon potential and a single-nucleon weak current operator. For the reactions with the deuteron we study relativistic effects in the final state kinematics and compare two-nucleon scattering states obtained in momentum and coordinate spaces. Our results from momentum space are compared with the theoretical predictions by G.Shen et al., Phys. Rev. C 86, 035503 (2012). The observed disagreement can be attributed to the differences in kinematics and in the weak current operator.",1
359,2,"On the end stage of spherical gravitational collapse in a cosmological scenario We consider the end stage of spherical gravitational collapse in a cosmological setting. As an alternative to standard spherical top-hat collapse, an expanding FLRW metric is matched to a generic contracting solution of Einstein's equations on a space-like hypersurface. Using the Israel junction conditions, this is done at a time when the scale factor of expansion reaches its maximum value. In this scenario, we first show that inhomogeneous dust collapse of the LTB type are ruled out by virtue of the junction conditions. We then investigate non-dust like collapse with vanishing radial pressure, and show that this can lead to a known regular interior Schwarzschild solution, without ad hoc virialization. The other possibilities at equilibrium invariably lead to naked singularities, and we obtain a new class of such naked singularities. Finally, we consider a simplistic analytic model for collapse, and show via the matching process that it can lead to the formation of singularity-free space-times as the end stage, while respecting the known cosmological parameters. The presence of trapped surfaces in this example do not lead to singularities, due to a violation of the strong energy condition.",1
367,2,"Recent developments in the tidal deformability of spinning compact objects We review recent work on the theory of tidal deformability and the tidal Love numbers of a slowly spinning compact object within general relativity. Angular momentum introduces couplings between distortions of different parity and new classes of spin-induced, tidal Love numbers emerge. Due to spin-tidal effects, a rotating object immersed in a quadrupolar, electric tidal field can acquire some induced mass, spin, quadrupole, octupole and hexadecapole moments to second-order in the spin. The tidal Love numbers depend strongly on the object’s internal structure. All tidal Love numbers of a Kerr black hole (BH) were proved to be exactly zero to first-order in the spin and also to second-order in the spin, at least in the axisymmetric case. For a binary system close to the merger, various components of the tidal field become relevant. Preliminary results suggest that spin-tidal couplings can introduce important corrections to the gravitational waveforms of spinning neutron star (NS) binaries approaching the merger.",1
