,labels,text,prediction
977,2,Instantons on ALE spaces for classical groups We give an ADHM type description of instantons on ALE spaces for classical groups as an extension of the description in [KN90] for unitary groups.,0
1379,2,"Lattice-layer entanglement in Bernal-stacked bilayer graphene The complete lattice-layer entanglement structure of Bernal-stacked bilayer graphene is obtained for the quantum system described by a tight-binding Hamiltonian which includes mass and bias voltage terms. Through a suitable correspondence with the parity-spin SU(2)⊗SU(2) structure of a Dirac Hamiltonian, when it brings up tensor and pseudovector external field interactions, the lattice-layer degrees of freedom can be mapped into such a parity-spin two-qubit basis which supports the interpretation of the bilayer graphene eigenstates as entangled ones in a lattice-layer basis. The Dirac Hamiltonian mapping structure simply provides the tools for the manipulation of the corresponding eigenstates and eigenenergies of the Bernal-stacked graphene quantum system. The quantum correlational content is then quantified by means of quantum concurrence, in order to have the influence of mass and bias voltage terms quantified, and in order to identify the role of the trigonal warping of energy in the intrinsic entanglement. Our results show that while the mass term actively suppresses the intrinsic quantum entanglement of bilayer eigenstates, the bias voltage term spreads the entanglement in the Brillouin zone around the Dirac points. In addition, the interlayer coupling modifies the symmetry of the lattice-layer quantum concurrence around a given Dirac point. It produces some distortion on the quantum entanglement profile which follows the same pattern of the isoenergy line distortion in the Bernal-stacked bilayer graphene.",0
2726,2,Gaussian quantum metrology and space-time probes In this thesis we focus on Gaussian quantum metrology in the phase-space formalism and its applications in quantum sensing and the estimation of space-time parameters. We derive new formulae for the optimal estimation of multiple parameters encoded into Gaussian states. We discuss the discontinuous behavior of the figure of merit - the quantum Fisher information. Using derived expressions we devise a practical method of finding optimal probe states for the estimation of Gaussian channels and we illustrate this method on several examples. We show that the temperature of a probe state affects the estimation generically and always appears in the form of four multiplicative factors. We also discuss how well squeezed thermal states perform in the estimation of space-time parameters. Finally we study how the estimation precision changes when two parties exchanging a quantum state with the encoded parameter do not share a reference frame. We show that using a quantum reference frame could counter this effect.,0
2765,2,"Static memory materials We simulate static memory materials on a two-dimensional lattice. The bulk properties of such materials depend on boundary conditions. Considerable information can be stored in various local patterns. We observe local probabilities oscillating with the distance from the boundary. The dependence of the local statistical information on this distance can be described by a linear evolution of classical wave functions, including the superposition principle and classical interference. We speculate that these new phenomena could open new algorithmic possibilities analogous to quantum computing.",0
2880,2,"An Enhanced Symmetry for the $p$-adic Wavelets Wavelet analysis has been extended to the $p$-adic line $\mathbb{Q}_p$. The $p$-adic wavelets are complex valued functions with compact support. As in the case of real wavelets, the construction of the basis functions is recursive, employing scaling and translation. Consequently, wavelets form a representation of the affine group generated by scaling and translation. In addition, $p$-adic wavelets are eigenfunctions of a pseudo-differential operator, as a result of which they turn out to have a larger symmetry group. The enhanced symmetry of the $p$-adic wavelets is demonstrated.",0
2882,2,"Faraday rotation due to surface states in the topological insulator (Bi$_{1-x}$Sb$_{x}$)$_{2}$Te$_{3}$ Using magneto-infrared spectroscopy, we have explored the charge dynamics of (Bi,Sb)$_2$Te$_3$ thin films on InP substrates. From the magneto-transmission data we extracted three distinct cyclotron resonance (CR) energies that are all apparent in the broad band Faraday rotation (FR) spectra. This comprehensive FR-CR data set has allowed us to isolate the response of the bulk states from the intrinsic surface states associated with both the top and bottom surfaces of the film. The FR data uncovered that electron- and hole-type Dirac fermions reside on opposite surfaces of our films, which paves the way for observing many exotic quantum phenomena in topological insulators.",0
3002,2,"Refined open intersection numbers and the Kontsevich-Penner matrix model A study of the intersection theory on the moduli space of Riemann surfaces with boundary was recently initiated in a work of R. Pandharipande, J.P. Solomon and the third author, where they introduced open intersection numbers in genus 0. Their construction was later generalized to all genera by J.P. Solomon and the third author. In this paper we consider a refinement of the open intersection numbers by distinguishing contributions from surfaces with different numbers of boundary components, and we calculate all these numbers. We then construct a matrix model for the generating series of the refined open intersection numbers and conjecture that it is equivalent to the Kontsevich-Penner matrix model. An evidence for the conjecture is presented. Another refinement of the open intersection numbers, which describes the distribution of the boundary marked points on the boundary components, is also discussed.",0
3230,2,"HNType : a diverse trace and migration mechanism in the block based Hierarchical Storage System named HazelNut HazelNut is a block based Hierarchical Storage System, in which logical data blocks are migrated among storage tiers to achieve better I/O performance. In order to choose migrated blocks, data block I/O process is traced to collect enough information for migration algorithms. There are many ways to trace I/O process and implement block migration. However, how to choose trace metrics and design block migration algorithm is a big problem for system designers. To address this problem, a diverse trace and migration mechanism HNType is proposed. HNType consists two parts, one is a diverse trace mechanism named HNType-t, and the other is a diverse migration mechanism named HNType-s. HNType-t abstracts four base elements and trace operation interfaces based on VFS design concept, which makes it feasible to customize specific trace metrics and trace operations; HNType-s presents three ways of data migration, each way of migration can use customized migration algorithms according to predefined prototypes. Based on HNType, A series of tests are conducted about how block migration is affected by different trace metrics, and three conclusions are drawn according to the experiment results. First, trace metrics of access times and access sectors are not linearly correlated, as a result, these two metrics bring different migration result; Second, I/O completion time used as trace metrics is able to improve sequential I/O by at least 10%; Third, access times used as metrics have a tendency of more migrations upwards.",0
3603,2,"A classification of equivariant gerbe connections Let G be a compact Lie group acting on a smooth manifold M. In this paper, we consider Meinrenken's G-equivariant bundle gerbe connections on M as objects in a 2-groupoid. We prove this 2-category is equivalent to the 2-groupoid of gerbe connections on the differential quotient stack associated to M, and isomorphism classes of G-equivariant gerbe connections are classified by degree three differential equivariant cohomology. Finally, we consider the existence and uniqueness of conjugation-equivariant gerbe connections on compact semisimple Lie groups.",0
4351,2,"Level Crossing in Random Matrices: I. Random perturbation of a fixed matrix We consider level crossing in a matrix family $H={{H}_{0}}+\lambda V$ where H (0) is a fixed $N\times N$ matrix and V belongs to one of the standard Gaussian random matrix ensembles. We study the probability distribution of level crossing points in the complex plane of $\lambda $ , for which we obtain a number of exact, asymptotic and approximate formulas.",0
5439,2,"Gradient flows without blow-up for Lefschetz thimbles We propose new gradient flows that define Lefschetz thimbles and do not blow up in a finite flow time. We study analytic properties of these gradient flows, and confirm them by numerical tests in simple examples.",0
5606,2,"Tensor Networks in a Nutshell Tensor network methods are taking a central role in modern quantum physics and beyond. They can provide an efficient approximation to certain classes of quantum states, and the associated graphical language makes it easy to describe and pictorially reason about quantum circuits, channels, protocols, open systems and more. Our goal is to explain tensor networks and some associated methods as quickly and as painlessly as possible. Beginning with the key definitions, the graphical tensor network language is presented through examples. We then provide an introduction to matrix product states. We conclude the tutorial with tensor contractions evaluating combinatorial counting problems. The first one counts the number of solutions for Boolean formulae, whereas the second is Penrose's tensor contraction algorithm, returning the number of $3$-edge-colorings of $3$-regular planar graphs.",0
5863,2,"Ground States via Spectral Combing on a Quantum Computer A new method is proposed for determining the ground state wave function of a quantum many-body system on a quantum computer, without requiring an initial trial wave function that has good overlap with the true ground state. The technique of Spectral Combing involves entangling an arbitrary initial wave function with a set of auxiliary qubits governed by a time dependent Hamiltonian, resonantly transferring energy out of the initial state through a plethora of avoided level crossings into the auxiliary system. The number of avoided level crossings grows exponentially with the number of qubits required to represent the Hamiltonian, so that the efficiency of the algorithm does not rely on any particular energy gap being large. We give an explicit construction of the quantum gates required for the realization of this procedure and explore the results of classical simulations of the algorithm on a small quantum computer with up to 8 qubits. We show that for certain systems and comparable results, Spectral Combing requires fewer quantum gates to realize than the Quantum Adiabatic Algorithm.",0
