,labels,text,prediction
90,1,"Surrogate-based artifact removal from single-channel EEG The recent emergence and success of electroencephalography (EEG) in low-cost portable devices, has opened the door to a new generation of applications processing a small number of EEG channels for health monitoring and brain-computer interfacing. These recordings are, however, contaminated by many sources of noise degrading the signals of interest, thus compromising the interpretation of the underlying brain state. In this work, we propose a new data-driven algorithm to effectively remove ocular and muscular artifacts from single-channel EEG: the surrogate-based artifact removal (SuBAR). Methods: By means of the time-frequency analysis of surrogate data, our approach is able to identify and filter automatically ocular and muscular artifacts embedded in single-channel EEG. Results: In a comparative study using artificially contami- nated EEG signals, the efficacy of the algorithm in terms of noise removal and signal distortion was superior to other traditionally-employed single-channel EEG denoising techniques: wavelet thresholding and the canonical correlation analysis combined with an advanced version of the empirical mode decomposition. Even in the presence of mild and severe artifacts, our artifact removal method provides a relative error 4 to 5 times lower than traditional techniques. Significance: In view of these results, the SuBAR method is a promising solution for mobile environments, such as ambulatory healthcare systems, sleep stage scoring or anesthesia monitoring, where very few EEG channels or even a single channel is available.",0
264,1,"Correlation between photoemissive and morphological properties of KBr thin film photocathodes In the present work, the morphological properties of KBr photocathodes are correlated with their photoemissive behaviour using a combination of analyzing techniques including SEM, TEM and AFM. From morphological studies, it is observed that KBr films have granular characteristics with varied average grain size and grain density. Structure and orientation of individual grains have been investigated by selected area electron diffraction technique and found to be the crystalline in nature with a face centered cubic structure. It is evident from the AFM analysis that the root mean square roughness and maximum area peak height have been decreased with the deposition of more KBr layers. The photoemission studies reveal that the resultant photocurrent is enhanced with increasing film thickness and it is directly related to the surface area coverage and grain density.",0
286,1,"Deep Packet/Flow Analysis using GPUs for High-Bandwidth Networks Deep packet inspection (DPI) is widely used in content‐aware network applications, such as surveillance, statistics gathering, and traffic control.",0
441,1,"Egocentric Effective Conductance Centrality and General Degree We study the popular centrality measure known as effective conductance or in some circles as information centrality. After reinterpreting this measure in terms of modulus (energy) of families of walks on the network, we introduce a new measure called shell modulus centrality, that relies on the egocentric structure of the graph. Egonetworks are networks formed around a focal node (ego) with a specific order of neighborhoods. We then propose efficient analytical and approximate methods for computing these measures on both undirected and directed networks. Finally, we describe a simple method inspired by shell modulus centrality, called general degree, which improves simple degree centrality and could prove to be a useful tool for network science.",0
443,1,"A vanishing theorem for co-Higgs bundles on the moduli space of bundles We consider smooth moduli spaces of semistable vector bundles of fixed rank and determinant on a compact Riemann surface $X$ of genus at least $3$. The choice of a Poincar\'e bundle for such a moduli space $M$ induces an isomorphism between $X$ and a component of the moduli space of semistable sheaves over $M$. We prove that $h^0(M, \text{End}({\mathcal E})\otimes TM)= 1$
for a vector bundle $\mathcal E$ on $M$ coming from this component. Furthermore, there are no nonzero integrable co-Higgs fields on $\mathcal E$.",0
584,1,"On the symmetry analysis of the micz problem on the cone In this paper we used reduction method of Arunaye [1] to obtain the symmetries of the McIntosh and Cisneros [2]; and Zwanziger [3] (MICZ) problem and present some exact symmetry transformations of the MICZ problem on the cone of motion. We note relationship between the symmetries of the Kepler problem and the MICZ problem, and we obtain a novel nonlocal scaling symmetry of the MICZ problem.",0
747,1,"Stellar Mass Function of Active and Quiescent Galaxies via the Continuity Equation The continuity equation is developed for the stellar mass content of galaxies and exploited to derive the stellar mass function of active and quiescent galaxies over the redshift range $z\sim 0\mbox{--}8$. The continuity equation requires two specific inputs gauged from observations: (i) the star formation rate functions determined on the basis of the latest UV+far-IR/submillimeter/radio measurements and (ii) average star formation histories for individual galaxies, with different prescriptions for disks and spheroids. The continuity equation also includes a source term taking into account (dry) mergers, based on recent numerical simulations and consistent with observations. The stellar mass function derived from the continuity equation is coupled with the halo mass function and with the SFR functions to derive the star formation efficiency and the main sequence of star-forming galaxies via the abundance-matching technique. A remarkable agreement of the resulting stellar mass functions for active and quiescent galaxies of the galaxy main sequence, and of the star formation efficiency with current observations is found, the comparison with data also allows the characteristic timescales for star formation and quiescence of massive galaxies, the star formation history of their progenitors, and the amount of stellar mass added by in situ star formation versus that contributed by external merger events to be robustly constrained. The continuity equation is shown to yield quantitative outcomes that detailed physical models must comply with, that can provide a basis for improving the (subgrid) physical recipes implemented in theoretical approaches and numerical simulations, and that can offer a benchmark for forecasts on future observations with multiband coverage, as will become routinely achievable in the era of JWST.",0
759,1,"Hom-associative Ore extensions We introduce hom-associative Ore extensions as non-associative, non-unital Ore extensions with a hom-associative multiplication, as well as give some necessary and sufficient conditions when such exist. Within this framework, we also construct a family of hom-associative Weyl algebras as generalizations of the classical analogue, and prove that they are simple.",0
800,1,"Causal Decomposition in the Mutual Causation System Inference of causality in time series has been principally based on the prediction paradigm. Nonetheless, the predictive causality approach may overlook the simultaneous and reciprocal nature of causal interactions observed in real world phenomena. Here, we present a causal decomposition approach that is not based on prediction, but based on the instantaneous phase dependency between the intrinsic components of a decomposed time series. The method involves two assumptions: (1) any cause effect relationship can be quantified with instantaneous phase dependency between the source and target decomposed as intrinsic components at specific time scale, and (2) the phase dynamics in the target originating from the source are separable from the target itself. Using empirical mode decomposition, we show that the causal interaction is encoded in instantaneous phase dependency at a specific time scale, and this phase dependency is diminished when the causal-related intrinsic component is removed from the effect. Furthermore, we demonstrate the generic applicability of our method to both stochastic and deterministic systems, and show the consistency of the causal decomposition method compared to existing methods, and finally uncover the key mode of causal interactions in both the modelled and actual predator prey system. We anticipate that this novel approach will assist with revealing causal interactions in complex networks not accounted for by current methods.",0
805,1,"Periodic Hamiltonian hierarchies and non-uniqueness of superpotentials In this article, a family of periodic quantum Hamiltonians, that is subject to a closure condition is considered. In the context of the factorization method, we address the question of non-uniqueness of the governing superpotentials and study an alternative factorization to generate new hierarchies of potentials.",0
924,1,"Non-extensive statistics in spin precession Many experiments utilize the precession of trapped particles in magnetic fields to perform high-precision measurements. It has often been presumed that after free precession, initially polarized particles will form a Gaussian phase distribution in the plane of precession. We show that trapped particles in the presence of magnetic-field gradients and electric fields will often form a non-Gaussian distribution with power-law tails with the exact shape of the distribution depending upon many experimental parameters. The results are consistent with distributions predicted by non-extensive statistics.",0
966,1,"On a class of integrable systems of Monge-Ampère type We investigate a class of multi-dimensional two-component systems of Monge-Ampère type that can be viewed as generalisations of heavenly type equations appearing in a self-dual Ricci-flat geometry. Based on the Jordan-Kronecker theory of the skew-symmetric matrix pencils, a classification of normal forms of such systems is obtained. All two-component systems of Monge-Ampère type turn out to be integrable and can be represented as the commutativity conditions of parameter-dependent vector fields. Geometrically, systems of Monge-Ampère type are associated with linear sections of the Grassmannians. This leads to an invariant differential-geometric characterisation of the Monge-Ampère property.",0
1087,1,"Covering monopole map and higher degree in non commutative geometry In this paper we develop analysis of the monopole maps over universal covering spaces of compact four manifolds. We induce a property on local properness of the covering monopole maps under the condition of closeness of the AHS complexes. In particular we construct a higher degree of the covering monopole maps when their linearized equations are isomorphic, which induces a homomorphism between K group of the group C^* algebras. It involves non linear analysis on the covering spaces, which is related to L^p cohomology. We also obtain various Sobolev estimates on the covering spaces. As a possible application, we propose an aspherical version of 10/8 inequality, combining with Singer conjecture on L^2 cohomology. It is satisfied for a large class of four manifolds which includes some complex surfaces of general type.",0
