,labels,text,prediction
145,0,"A method for Hamiltonian truncation: A four-wave example A method for extracting finite-dimensional Hamiltonian systems from a class of 2+1 Hamiltonian mean field theories is presented. These theories possess noncanonical Poisson brackets, which normally resist Hamiltonian truncation, but a process of beatification by coordinate transformation near a reference state is described in order to perturbatively overcome this difficulty. Two examples of four-wave truncation of Euler's equation for scalar vortex dynamics are given and compared: one a direct non-Hamiltonian truncation of the equations of motion, the other obtained by beatifying the Poisson bracket and then truncating.",2
1280,0,"Recursion relations for Double Ramification Hierarchies In this paper we study various properties of the double ramification hierarchy, an integrable hierarchy of hamiltonian PDEs introduced in [Bur15] using intersection theory of the double ramification cycle in the moduli space of stable curves. In particular, we prove a recursion formula that recovers the full hierarchy starting from just one of the Hamiltonians, the one associated to the first descendant of the unit of a cohomological field theory. Moreover, we introduce analogues of the topological recursion relations and the divisor equation both for the hamiltonian densities and for the string solution of the double ramification hierarchy. This machinery is very efficient and we apply it to various computations for the trivial and Hodge cohomological field theories, and for the $r$-spin Witten's classes. Moreover we prove the Miura equivalence between the double ramification hierarchy and the Dubrovin-Zhang hierarchy for the Gromov-Witten theory of the complex projective line (extended Toda hierarchy).",2
1563,0,"A survey on mixed spin P-fields This is a survey on the mixed spin P-fields (MSP fields for short) theory which provides a platform to understand the phase transition between Gromov-Witten theory of quintic CY 3-folds and Landau-Ginzburg theory of the corresponding quintic polynomials. It discusses key ideas that lead to the definition of MSP fields and how moduli of stable maps to the quintic and that of 5-spin curves appear in the moduli of MSP fields. It also explains some properties of the moduli of MSP fields such as the cosection localisation, the properness of the degeneracy locus, and a torus action on the moduli.. Some vanishings arising from the torus action provide polynomial relations among GW-invarants and FJRW-invaraints which give an effective algorithm for the computation of those invariants. Some examples of computations of genus 1 low degree of GW invariants are provided.",2
1801,0,"Brownian Loops and Conformal Fields The main topic of these lecture notes is the continuum scaling limit of planar lattice models. One reason why this topic occupies an important place in the theory of probability and mathematical statistical physics is that scaling limits provide the link between statistical mechanics and (Euclidean) field theory. In order to explain the main ideas behind the concept of scaling limit, I will focus on a ""toy"" model that exhibits the typical behavior of statistical mechanical models at and near the critical point. This model, known as the random walk loop soup, is actually interesting in its own right. It can be described as a Poissonian ensemble of lattice loops, or a lattice gas of loops since it fits within the ideal gas framework of statistical mechanics. After introducing the model and discussing some interesting connections with the discrete Gaussian free field, I will present some results concerning its scaling limit, which leads to a Poissonian ensemble of continuum loops known as the Brownian loop soup. The latter was introduced by Lawler and Werner and is a very interesting object with connections to the Schramm-Loewner Evolution and various models of statistical mechanics. In the second part of the lectures, I will use the Brownian loop soup to construct a family of functions that behave like correlation functions of a conformal field. I will then use these functions and their derivation to introduce the concept of conformal field and to explore the connection between scaling limits and conformal fields.",2
2584,0,"Hyperskewness of $(1+1)$-dimensional KPZ Height Fluctuations We evaluate the fifth order normalized cumulant, known as hyperskewness, of height fluctuations dictated by the $(1+1)$-dimensional KPZ equation for the stochastic growth of a surface on a flat geometry in the stationary state. We follow a diagrammatic approach and invoke a renormalization scheme to calculate the fifth cumulant given by a connected loop diagram. This, together with the result for the second cumulant, leads to the hyperskewness value $\widetilde{S} = 0.0835$.",2
3137,0,"High-energy and smoothness asymptotic expansion of the scattering amplitude for the Dirac equation and applications We obtain an explicit formula for the diagonal singularities of the scattering amplitude for the Dirac equation with short-range electromagnetic potentials. Using this expansion we uniquely reconstruct an electric potential and magnetic field from the high-energy limit of the scattering amplitude. Moreover, supposing that the electric potential and magnetic field are asymptotic sums of homogeneous terms we give the unique reconstruction procedure for these asymptotics from the scattering amplitude, known for some energy $E.$ Furthermore, we prove that the set of the averaged scattering solutions to the Dirac equation is dense in the set of all solutions to the Dirac equation that are in $L^{2}\left( \Omega\right) ,$ where $\Omega$ is any connected bounded open set in $\mathbb{R}^{3}$ with smooth boundary, and we show that if we know an electric potential and a magnetic field for $\mathbb{R}^{3}\setminus\Omega$, then the scattering amplitude, given for some energy $E$, uniquely determines these electric potential and magnetic field everywhere in $\mathbb{R}^{3}$. Combining this uniqueness result with the reconstruction procedure for the asymptotics of the electric potential and the magnetic field we show that the scattering amplitude, known for some $E$, uniquely determines a electric potential and a magnetic field, that are asymptotic sums of homogeneous terms, which converges to the electric potential and the magnetic field, respectively. Moreover, we discuss the symmetries of the kernel of the scattering matrix, which follow from the parity, charge-conjugation and time-reversal transformations for the Dirac operator.",2
3216,0,"Dynamical complexity in the quantum to classical transition We study the dynamical complexity of an open quantum driven double-well oscillator, mapping its dependence on effective Planck's constant $\hbar_{eff}\equiv\beta$ and coupling to the environment, $\Gamma$. We study this using stochastic Schrodinger equations, semiclassical equations, and the classical limit equation. We show that (i) the dynamical complexity initially increases with effective Hilbert space size (as $\beta$ decreases) such that the most quantum systems are the least dynamically complex. (ii) If the classical limit is chaotic, that is the most dynamically complex (iii) if the classical limit is regular, there is always a quantum system more dynamically complex than the classical system. There are several parameter regimes where the quantum system is chaotic even though the classical limit is not. While some of the quantum chaotic attractors are of the same family as the classical limiting attractors, we also find a quantum attractor with no classical counterpart. These phenomena occur in experimentally accessible regimes.",2
4019,0,"Maxwell's demon and information channel width of a black hole Using a new generalized second law of thermodynamics, the information and entropy of a black hole and its accretion disk are analyzed respectively. We find the bound of the information channel width of a black hole, which is determined by the variation rate of the horizon temperature and the mass of the black hole's shell(the accretion disk close to the horizon).",2
4520,0,"A flop formula for Donaldson-Thomas invariants Let $X$ and $X'$ be nonsingular projective $3$-folds related by a flop of a disjoint union of $(-2)$-curves. We prove a flop formula relating the Donaldson-Thomas invariants of $X$ to those of $X'$, which implies some simple relations among BPS state counts. As an application, we show that if $X$ satisfies the GW/DT correspondence for primary insertions and descendants of the point class, then so does $X'$. We also propose a conjectural flop formula for general flops.",2
5933,0,"Permutation Symmetry Determines the Discrete Wigner Function The Wigner function provides a useful quasiprobability representation of quantum mechanics, with applications in various branches of physics. Many nice properties of the Wigner function are intimately connected with the high symmetry of the underlying operator basis composed of phase point operators: any pair of phase point operators can be transformed to any other pair by a unitary symmetry transformation. We prove that, in the discrete scenario, this permutation symmetry is equivalent to the symmetry group being a unitary 2-design. Such a highly symmetric representation can only appear in odd prime power dimensions besides dimensions 2 and 8. It suffices to single out a unique discrete Wigner function among all possible quasiprobability representations. In the course of our study, we show that this discrete Wigner function is uniquely determined by Clifford covariance, while no Wigner function is Clifford covariant in any even prime power dimension.",2
