,labels,text,prediction
208,0,"Statistical Performance Analysis of the MUSIC Algorithm in Angular Sectors This article deals with the problem of the statistical performance analysis of the MUSIC ( Multiple Signal Classification ) algorithm which is an eigen decomposition based method for the estimation of the angles of arrival of signals received by an array of sensors. In past work the performance of the MUSIC algorithm was studied ( via an asymptotic statistical analysis of the null spectrum of the algorithm ) for the case of two plane waves of equal power in noise. In this article, a new theoretical formula is derived for the signal to noise ratio resolution threshold of two uncorrelated, narrow band plane waves with equal powers in angular sectors received by an array of sensors. The accuracy of the formula is assessed using examples which compute the theoretical signal to noise ratio resolution threshold and compare it with the threshold obtained from simulations.",1
234,0,"The higher order $q$-Dolan-Grady relations and quantum integrable systems In this thesis, the connection between recently introduced algebraic structures (tridiagonal algebra, $q$-Onsager algebra, generalized $q-$Onsager algebras), related representation theory (tridiagonal pair, Leonard pair, orthogonal polynomials), some properties of these algebras and the analysis of related quantum integrable models on the lattice (the $XXZ$ open spin chain at roots of unity) is first reviewed. Then, the main results of the thesis are described: (i) for the class of $q-$Onsager algebras associated with $\widehat{sl_2}$ and ADE type simply-laced affine Lie algebras, higher order analogs of Lusztig's relations are conjectured and proven in various cases, (ii) for the open $XXZ$ spin chain at roots of unity, new elements (that are divided polynomials of $q-$Onsager generators) are introduced and some of their properties are studied. These two elements together with the two basic elements of the $q-$Onsager algebra generate a new algebra, which can be understood as an analog of Lusztig's quantum group for the $q-$Onsager algebra. Some perspectives are presented.",1
287,0,"Technology advancement of the CCD201-20 EMCCD for the WFIRST coronagraph instrument: sensor characterization and radiation damage The Wide Field InfraRed Survey Telescope-Astrophysics Focused Telescope Asset (WFIRST-AFTA) mission is a 2.4-m class space telescope that will be used across a swath of astrophysical research domains. JPL will provide a high-contrast imaging coronagraph instrument - one of two major astronomical instruments. In order to achieve the low noise performance required to detect planets under extremely low flux conditions, the electron multiplying charge-coupled device (EMCCD) has been baselined for both of the coronagraph's sensors - the imaging camera and integral field spectrograph. JPL has established an EMCCD test laboratory in order to advance EMCCD maturity to technology readiness level-6. This plan incorporates full sensor characterization, including read noise, dark current, and clock-induced charge. In addition, by considering the unique challenges of the WFIRST space environment, degradation to the sensor's charge transfer efficiency will be assessed, as a result of damage from high-energy particles such as protons, electrons, and cosmic rays. Science-grade CCD201-20 EMCCDs have been irradiated to a proton fluence that reflects the projected WFIRST orbit. Performance degradation due to radiation displacement damage is reported, which is the first such study for a CCD201-20 that replicates the WFIRST conditions. In addition, techniques intended to identify and mitigate radiation-induced electron trapping, such as trap pumping, custom clocking, and thermal cycling, are discussed.",1
439,0,"Path Integral approach to nonequilibrium potentials in multiplicative Langevin dynamics We present a path integral formalism to compute potentials for nonequilibrium steady states, reached by a multiplicative stochastic dynamics. We develop a weak-noise expansion, which allows the explicit evaluation of the potential in arbitrary dimensions and for any stochastic prescription. We apply this general formalism to study noise-induced phase transitions. We focus on a class of multiplicative stochastic lattice models and compute the steady state phase diagram in terms of the noise intensity and the lattice coupling. We obtain, under appropriate conditions, an ordered phase induced by noise. By computing entropy production, we show that microscopic irreversibility is a necessary condition to develop noise-induced phase transitions. This property of the nonequilibrium stationary state has no relation with the initial stages of the dynamical evolution, in contrast with previous interpretations, based on the short-time evolution of the order parameter.",1
481,0,"How does our choice of observable influence our estimation of the centre of a galaxy cluster? Insights from cosmological simulations Galaxy clusters are an established and powerful test-bed for theories of both galaxy evolution and cosmology. Accurate interpretation of cluster observations often requires robust identification of the location of the centre. Using a statistical sample of clusters drawn from a suite of cosmological simulations in which we have explored a range of galaxy formation models, we investigate how the location of this centre is affected by the choice of observable - stars, hot gas, or the full mass distribution as can be probed by the gravitational potential. We explore several measures of cluster centre: the minimum of the gravitational potential, which would expect to define the centre if the cluster is in dynamical equilibrium; the peak of the density; the centre of BCG; and the peak and centroid of X-ray luminosity. We find that the centre of BCG correlates more strongly with the minimum of the gravitational potential than the X-ray defined centres, while AGN feedback acts to significantly enhance the offset between the peak X-ray luminosity and minimum gravitational potential. These results highlight the importance of centre identification when interpreting clusters observations, in particular when comparing theoretical predictions and observational data.",1
519,0,"Families of lattice polarized K3 surfaces with monodromy We extend the notion of lattice polarization for K3 surfaces to families over a (not necessarily simply connected) base, in a way that gives control over the action of monodromy on the algebraic cycles, and discuss the uses of this new theory in the study of families of K3 surfaces admitting fibrewise symplectic automorphisms. We then give an application of these ideas to the study of Calabi-Yau threefolds admitting fibrations by lattice polarized K3 surfaces.",1
529,0,"Simulation of the vortex dynamics in a real pinning landscape of YBa$_2$Cu$_3$O$_{7-\delta}$ coated conductors The ability of high-temperature superconductors (HTSs) to carry very large currents with almost no dissipation makes them irreplaceable for high-power applications. The development and further improvement of HTS-based cables requires an in-depth understanding of the superconducting vortex dynamics in presence of complex pinning landscapes. We present a critical current analysis of a real HTS sample in a magnetic field by combining state-of-the-art large-scale Ginzburg-Landau simulations with reconstructive three-dimensional scanning transmission electron microscopy tomography of the pinning landscape in Dy-doped YBa$_2$Cu$_3$O$_{7-\delta}$. This methodology provides a unique look at the vortex dynamics in the presence of a complex pinning landscape, responsible for the high current-carrying capacity characteristic of commercial HTS wires. Our method demonstrates very good functional and quantitative agreement of the critical current between simulation and experiment, providing a new predictive tool for HTS wires design.",1
670,0,"Classical realization of dispersion-canceled, artifact-free, and background-free optical coherence tomography Quantum-optical coherence tomography (Q-OCT) provides a dispersion-canceled axial-imaging method, but its practical use is limited by the weakness of the light source and by artifacts in the images. A recent study using chirped-pulse interferometry (CPI) has demonstrated dispersion-canceled and artifact-free OCT with a classical system; however, unwanted background signals still remain after removing the artifacts. Here, we propose a classical optical method that realizes dispersion-canceled, artifact-free, and background-free OCT. We employ a time-reversed system for Q-OCT with transform-limited input laser pulses to achieve dispersion-canceled OCT with a classical system. We have also introduced a subtraction method to remove artifacts and background signals. With these methods, we experimentally demonstrated dispersion-canceled, artifact-free, and background-free axial imaging of a coverglass and cross-sectional imaging of the surface of a coin.",1
718,0,"The data processing pipeline for the Herschel SPIRE Fourier Transform Spectrometer We present the data processing pipeline to generate calibrated data products from the Spectral and Photometric Imaging Receiver (SPIRE) imaging Fourier Transform Spectrometer on the Herschel Space Observatory. The pipeline processes telemetry from SPIRE observations and produces calibrated spectra for all resolution modes. The spectrometer pipeline shares some elements with the SPIRE photometer pipeline, including the conversion of telemetry packets into data timelines and calculation of bolometer voltages. We present the following fundamental processing steps unique to the spectrometer: temporal and spatial interpolation of the scan mechanism and detector data to create interferograms; Fourier transformation; apodization; and creation of a data cube. We also describe the corrections for various instrumental effects including first- and second-level glitch identification and removal, correction of the effects due to emission from the Herschel telescope and from within the spectrometer instrument, interferogram baseline correction, temporal and spatial phase correction, non-linear response of the bolometers, and variation of instrument performance across the focal plane arrays. Astronomical calibration is based on combinations of observations of standard astronomical sources and regions of space known to contain minimal emission.",1
730,0,"Compilation of spectroscopic data of Radium (Ra I and Ra II) Energy levels, wavelengths, lifetimes and hyperfine structure constants for the isotopes of the first and second spectra of radium, Ra I and Ra II have been compiled. Wavelengths and wave numbers are tabulated for 226Ra and for other Ra isotopes. Isotope shifts and hyperfine structure constants of even and odd-A isotopes of neutral radium atom and singly ionized radium are included. Experimental lifetimes of the states for both neutral and ionic Ra are also added, where available. The information is beneficial for present and future experiments aimed at different physics motivations using neutral Ra and singly ionized Ra.",1
